headline,date,document_type,type_of_material,section_name,keywords,snippet,source,lead_paragraph
UPSTATE DOG WINS IN SPRINGER TRIALS,1964-04-05,article,Archives,Archives,[],,The New York Times,"CARVERSVILLE, Pa. April 4—Toodry March Brown, an 11month‐old dog, today won the field trial championship and the Flier's Ginger of Shady Glen Trophy. In the spring trials of the Keystone English Springer Spaniel Club he was judged “the best looking and the most promising English springer spaniel” in competition. Sixty dogs ran in the trial."
POINTER CAPTURES SHOOTING DOG STAKE,1964-10-26,article,Archives,Archives,[],,The New York Times,"MEDFORD, N. J., Oct. 25—Tip Top Timmy, a pointer owned by Fred Palmer of Canaan. N. Y., won today the Medford Hill Shooting Dog Stake at the English Setter Club of America's fall trial. Timmy was handled by Tom Gettinger. Sixteen braces ran in the stake."
DOG LEADS POLICE TO KILLING SUSPECT,1964-12-22,article,Archives,Archives,[],,The New York Times,A dog last night led two detectives to a 16‐year‐old boy who was seized in the killing of a Bronx grocer.
DOG FANCIERS SEEM TO FORGIVE JOHNSON,1964-05-02,article,Archives,Archives,['Animals'],Dog fanciers seen ready to forgive Johnson for ear-pulling incident,The New York Times,"WASHINGTON, May 1 (UPI) — Dog fanciers were apparently ready today to let President Johnson off with a reprimand and to forgive hiis ear‐tugging of the Presidential beagles."
Afghan Dominates Chicago Dog Show,1964-04-05,article,Archives,Archives,"['Automobiles', 'SHOWS (INTERNATIONAL)']",special sec on show,The New York Times,"CHICAGO, April 4 — An Afghan endowed with rare gifts as a bench competitor and a racer was among the breed winners at the gigantic International Kennel Club of Chicago dog show today. She was Ch. Pandora of Stormhill, owned, bred and handled by Mrs. Virginia R. Withington of Pasadena, Calif."
Man Sometimes Proves to Be Dog's Worst Friend,1964-02-27,article,Archives,Archives,[],,The New York Times,"NEW YORK is a city of dog lovers. Anyone who has ever walked a dog in the asphalt jungle is aware of the instant camaraderie it engenders. Total strangers stop to chat, friendships are born and flower."
Car and $400 Refused By Finder of Lost Dog,1964-08-31,article,Archives,Archives,[],,The New York Times,"NEW HYDE PARK, L. I., Aug. 30—A family here that offered all the money it had in the bank and a 1962 station wagon for the return of its lost dog got the dog back today. It did not cost them a penny."
CANDY BOY WINNER IN BIRD DOG TRIAL,1964-04-04,article,Archives,Archives,[],,The New York Times,"MOUNT HOLLY, N. J., April 3—Faulkner's Candy Boy and Mr. White Knight were named winners today in the 57th annual English Setter Club of America bird dog trial."
"$3,500 Dog is Stolen From Car in Brooklyn",1964-08-04,article,Archives,Archives,[],,The New York Times,"A German shepherd dog valued by its owner at $3,500 was stolen from an auto in Brooklyn yesterday."
Killing of Dog to Save Garden Upheld on L.I.,1964-01-21,article,Archives,Archives,['Dogs'],"Suffolk County, NY, ct upholds right of homeowner to protect property against dogs, L Levine case",The New York Times,"RIVERHEAD, L. I., Jan. 20—A County Court judge affirmed today the right of a homeowner to protect his property against a dog."
WAR STORM EXCELS IN BIRD DOG TRIALS,1964-02-23,article,Archives,Archives,[],,The New York Times,"GRAND JUCTION, Tenn., Feb. 22 (AP) — War Storm, a strong‐hearted pointer with a radar nose and the stamina of a mule, hunted brilliantly today in the national bird dog field trials."
Seeing‐Eye Dog Has Day in Court,1964-11-20,article,Archives,Archives,"['HOTELS, BARS, MOTELS, NIGHT CLUBS AND RESTAURANTS', 'BLINDNESS AND THE BLIND']",restaurant owner arraigned; Mrs Keitlen and dog illus,The New York Times,"Duchess, a gentle‐faced guide dog, and her mistress Thelma (Tomi) Keitlen, a blind executive, of 112 Central Park South, sat patiently in Part 7B of Criminal Court yesterday awaiting the arraignment of Edward Nierenberg, the court's last.piece off business. The manager of the Sixth Avenue Delicatessen, 1361 Avenue of the Americas, near 55th Street, was charged with refusing service to Mrs. Keitlen on Oct. 16 when she entered the store with her dog. His action was a violation of Section 518 of the penal law and a misdemeanor. City health laws bar dogs from eating places but there is an exception for seeing‐eye dogs."
"Her, Johnsons’ Dog, Eats Stone and Dies",1964-11-29,article,Archives,Archives,['Animals'],Johnson repts beagle Her died during surgery to remove stone swallowed while frisking on White House lawn; illus with Her and Him,The New York Times,"AUSTIN, Tex., Nov. 28—President Johnson announced today that Her, one of his two beagles, had died during surgery to remove a stone she had swallowed while frisking on the White House lawn."
DOG OWMR IS FREED AFTER 7 DAYS IN JAIL,1964-11-13,article,Archives,Archives,['Dogs'],"J Laing freed after serving 7 days of 4-mo sentence for refusing to surrender dog that killed sheep, '61, Pearlsburg, Va",The New York Times,"PEARISBURG, Va., Nov. 12 (AP)—Jim Laing, who went to jail for his dog, got his freedom today."
Dog Shoots His Master; Police Call It Accidental,1964-11-06,article,Archives,Archives,[],,The New York Times,"A 15‐year‐old Queens boy was shot in the hand yesterday by Sam, his 5‐year‐old mongrel dog."
Dog Found on L. I. Is Flown To Owners in California,1964-07-10,article,Archives,Archives,[],,The New York Times,"A 3‐year‐old Pekingese named Rockie left Kennedy International Airport yesterday aboard an airliner bound for Los Angeles for a reunion with his owners, Mr. and Mrs. Thomas Cardenas of El Monte, Calif."
Eastern Dog Club Cancels This Year's Show in Boston,1964-11-04,article,Archives,Archives,[],,The New York Times,"BOSTON, Nov. 3—The Eastern Dog Club, which has been conducting one of the country's Ieading dog shows since 1912, has canceled this year's event. Charles R. Miles of Dover, Mass., the president, said today that the organization was seeking a new site and more satisfactory dates. The show is one of the few conducted for two days"
Sled Dog Races Captured By Lombard for 4th Time,1964-03-24,article,Archives,Archives,"['Dogs', 'RACES']",N Amer sled dog champ,The New York Times,"FAIRBANKS, Alaska, March 23 (AP)—Dr. Roland Lombard won the North American championship sled dog races yesterday for the fourth time and third in succession."
Headstone Put on L.I. Grave Of the Nixons’ Dog Checkers,1964-12-31,article,Archives,Archives,[],headstone put on grave of dog Checkers,The New York Times,"WANTAGH, L. I., Dec. 30—The grave of Checkers, former Vice President Richard M. Nixon's cocker spaniel, was marked with a headstone today."
Garden State Parkway Gets Bilingual Hot Dog,1964-01-25,article,Archives,Archives,[],,The New York Times,"WOODBRIDGE, N. J.. Jan. 24—The Garden State Parkway will become sort of bilingual on Feb. 1."
Fleetfoot Breaks Scottish Terrier's Dog Show Streak,1964-09-27,article,Archives,Archives,[],,The New York Times,"GREENLAWN, L. I., Sept 26 — As dusk fell today at Greenlawn Recreation Park, thé longesb best‐in‐show winning streak that has been amassed in the east in many years, also fell. The Scottish terrier, Ch, Carmichael's Fanfare known to her owners,. Mr. and Mrs, Charles C. Stalter of Woodcliff Lake, N. J. as Mamie, was beaten in the final of the 788dog Suffolk County Kennel Club fixture."
